kind,label,block_index,measurement_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,Donald Trump,5,5,41.34423065185547,41.344234466552734,0.5099482536315918,0.4036289155483246
dual,Donald Trump,5,6,39.839210510253906,39.83921432495117,0.5147619247436523,0.3925397992134094
dual,Donald Trump,5,7,40.656532287597656,40.65653610229492,0.5270723700523376,0.3728235960006714
dual,Donald Trump,5,8,50.630645751953125,50.630645751953125,0.4666087031364441,0.4218764007091522
dual,Donald Trump,5,9,37.461727142333984,37.46173095703125,0.46150001883506775,0.3636454939842224
dual,Donald Trump,5,10,36.31209182739258,36.31209182739258,0.4692535400390625,0.3458626866340637
dual,Donald Trump,5,11,37.224449157714844,37.224449157714844,0.48892471194267273,0.3320351839065552
dual,Donald Trump,5,12,52.40887451171875,52.40888214111328,0.47698432207107544,0.4310213029384613
dual,Donald Trump,5,13,41.50105285644531,41.50105285644531,0.5091425776481628,0.4037137031555176
dual,Donald Trump,5,14,40.20201110839844,40.20201110839844,0.5146011710166931,0.3888511657714844
dual,Donald Trump,5,15,41.45575714111328,41.45575714111328,0.5320409536361694,0.36327871680259705
dual,Donald Trump,5,16,52.04259490966797,52.042598724365234,0.475909948348999,0.4296773076057434
dual,Donald Trump,5,17,40.46824264526367,40.46824264526367,0.5018733739852905,0.39710116386413574
dual,Donald Trump,5,18,38.66619110107422,38.66619110107422,0.5037464499473572,0.38123154640197754
dual,Donald Trump,5,19,39.28971481323242,39.28971862792969,0.5166974663734436,0.36047518253326416
dual,Donald Trump,6,0,69.11305236816406,69.11305236816406,0.4953490197658539,0.45658278465270996
dual,Donald Trump,6,1,56.05499267578125,56.05499267578125,0.5259730219841003,0.4179762303829193
dual,Donald Trump,6,2,52.018795013427734,52.01879119873047,0.5127043128013611,0.38391241431236267
dual,Donald Trump,6,3,50.26031494140625,50.26031494140625,0.5077148675918579,0.3518902659416199
dual,Donald Trump,6,4,70.6185073852539,70.6185073852539,0.5022379159927368,0.4629170298576355
dual,Donald Trump,6,5,56.00822067260742,56.00822067260742,0.5236677527427673,0.4064915180206299
dual,Donald Trump,6,6,53.1479606628418,53.1479606628418,0.5191107392311096,0.3785293996334076
dual,Donald Trump,6,7,52.300933837890625,52.300933837890625,0.5205944776535034,0.3527964949607849
dual,Donald Trump,6,8,69.07571411132812,69.07571411132812,0.49855920672416687,0.45922335982322693
dual,Donald Trump,6,9,52.71189498901367,52.71189498901367,0.5041136145591736,0.3960326313972473
dual,Donald Trump,6,10,48.31025314331055,48.31024932861328,0.49425745010375977,0.36237916350364685
dual,Donald Trump,6,11,47.76920700073242,47.76920700073242,0.5012468695640564,0.3383471965789795
dual,Donald Trump,6,12,69.53233337402344,69.53233337402344,0.49936148524284363,0.4599704444408417
dual,Donald Trump,6,13,55.432090759277344,55.432090759277344,0.5250024795532227,0.4131772220134735
dual,Donald Trump,6,14,51.5496826171875,51.5496826171875,0.5146909952163696,0.37731146812438965
dual,Donald Trump,6,15,50.843162536621094,50.84315490722656,0.5201793909072876,0.3462337255477905
dual,Donald Trump,6,16,70.19304656982422,70.19304656982422,0.5051158666610718,0.4641423225402832
dual,Donald Trump,6,17,55.868247985839844,55.868247985839844,0.5405948758125305,0.42237579822540283
dual,Donald Trump,6,18,51.05590057373047,51.05590057373047,0.5220321416854858,0.3857499957084656
dual,Donald Trump,6,19,49.707733154296875,49.707733154296875,0.5170204043388367,0.35388410091400146
dual,Donald Trump,7,0,52.95705795288086,52.957061767578125,0.4843594431877136,0.43218156695365906
dual,Donald Trump,7,1,41.059478759765625,41.059478759765625,0.4970143735408783,0.360352098941803
dual,Donald Trump,7,2,38.201759338378906,38.201759338378906,0.485113263130188,0.3297221064567566
dual,Donald Trump,7,3,36.62478256225586,36.62478256225586,0.47097259759902954,0.31033486127853394
dual,Donald Trump,7,4,54.42499923706055,54.42500305175781,0.49438905715942383,0.43804121017456055
dual,Donald Trump,7,5,40.89258575439453,40.89258575439453,0.49456724524497986,0.35490453243255615
dual,Donald Trump,7,6,38.532196044921875,38.532196044921875,0.4856666922569275,0.32303160429000854
dual,Donald Trump,7,7,37.5487060546875,37.5487060546875,0.4782907962799072,0.3182283043861389
dual,Donald Trump,7,8,52.595252990722656,52.59525680541992,0.48707836866378784,0.432723730802536
dual,Donald Trump,7,9,39.00951385498047,39.00951385498047,0.48725494742393494,0.3481593728065491
dual,Donald Trump,7,10,36.094970703125,36.094970703125,0.47794145345687866,0.31778788566589355
dual,Donald Trump,7,11,35.15196228027344,35.15196990966797,0.47620445489883423,0.30948135256767273
dual,Donald Trump,7,12,53.93696212768555,53.93696594238281,0.49401432275772095,0.4407082796096802
dual,Donald Trump,7,13,40.2220344543457,40.22203826904297,0.4959428906440735,0.3662322759628296
dual,Donald Trump,7,14,37.603126525878906,37.603126525878906,0.4871947169303894,0.3279402256011963
dual,Donald Trump,7,15,37.05873107910156,37.05873107910156,0.48715004324913025,0.3253129720687866
dual,Donald Trump,7,16,53.80961227416992,53.80961608886719,0.49718114733695984,0.4390895366668701
dual,Donald Trump,7,17,42.2908935546875,42.2908935546875,0.5218722820281982,0.3814028203487396
dual,Donald Trump,7,18,39.00625228881836,39.006256103515625,0.5090382695198059,0.3458279073238373
dual,Donald Trump,7,19,37.727867126464844,37.72787094116211,0.49967464804649353,0.32254523038864136
dual,Donald Trump,8,0,70.2793197631836,70.2793197631836,0.553676187992096,0.4973796606063843
