kind,label,block_index,measurement_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,Van Gogh,4,15,32.31792068481445,32.31792449951172,0.4848749339580536,0.3081226348876953
dual,Van Gogh,4,16,49.723876953125,49.723876953125,0.463373601436615,0.3958043158054352
dual,Van Gogh,4,17,34.22659683227539,34.22659683227539,0.43928956985473633,0.3300170302391052
dual,Van Gogh,4,18,29.162506103515625,29.162506103515625,0.4196023941040039,0.30898985266685486
dual,Van Gogh,4,19,29.007089614868164,29.007089614868164,0.4484613835811615,0.3017953932285309
dual,Van Gogh,5,0,47.62004470825195,47.62004852294922,0.4499727785587311,0.4159731864929199
dual,Van Gogh,5,1,34.0069465637207,34.0069465637207,0.46938228607177734,0.3428743779659271
dual,Van Gogh,5,2,30.53274917602539,30.53274917602539,0.46444496512413025,0.32653528451919556
dual,Van Gogh,5,3,30.170719146728516,30.17072296142578,0.4794248044490814,0.3096674382686615
dual,Van Gogh,5,4,47.57476806640625,47.57476806640625,0.45400169491767883,0.42148780822753906
dual,Van Gogh,5,5,33.72425079345703,33.72425079345703,0.46860429644584656,0.34452301263809204
dual,Van Gogh,5,6,30.11538314819336,30.11538314819336,0.4592997133731842,0.32290855050086975
dual,Van Gogh,5,7,29.7812442779541,29.7812442779541,0.47190994024276733,0.3076712191104889
dual,Van Gogh,5,8,47.865447998046875,47.86545181274414,0.4568059742450714,0.42309507727622986
dual,Van Gogh,5,9,32.44907760620117,32.44907760620117,0.4533851444721222,0.3402031362056732
dual,Van Gogh,5,10,29.004180908203125,29.004180908203125,0.4452821910381317,0.3219987154006958
dual,Van Gogh,5,11,28.48291778564453,28.48291778564453,0.45640745759010315,0.30458489060401917
dual,Van Gogh,5,12,47.33466339111328,47.33466339111328,0.4512568712234497,0.41816696524620056
dual,Van Gogh,5,13,34.20582962036133,34.20582962036133,0.4683348834514618,0.34825626015663147
dual,Van Gogh,5,14,31.03434944152832,31.03434944152832,0.46342939138412476,0.32852786779403687
dual,Van Gogh,5,15,30.45293617248535,30.45293617248535,0.4743749797344208,0.3112727105617523
dual,Van Gogh,5,16,47.35610580444336,47.35610580444336,0.4512462615966797,0.41531410813331604
dual,Van Gogh,5,17,32.56985855102539,32.56985855102539,0.45336437225341797,0.33635279536247253
dual,Van Gogh,5,18,28.876983642578125,28.87698745727539,0.4408728778362274,0.3136759400367737
dual,Van Gogh,5,19,28.38566017150879,28.38566017150879,0.4487600326538086,0.29963812232017517
dual,Van Gogh,6,0,63.34474182128906,63.34474182128906,0.47017887234687805,0.436639666557312
dual,Van Gogh,6,1,53.59927749633789,53.59927749633789,0.51193767786026,0.36741575598716736
dual,Van Gogh,6,2,52.67171859741211,52.67171859741211,0.536338746547699,0.36313483119010925
dual,Van Gogh,6,3,51.82215118408203,51.82215118408203,0.5587522387504578,0.35422125458717346
dual,Van Gogh,6,4,63.72608184814453,63.72608184814453,0.47242674231529236,0.43980368971824646
dual,Van Gogh,6,5,50.91802978515625,50.91802215576172,0.4976443350315094,0.3612426221370697
dual,Van Gogh,6,6,50.13103485107422,50.131038665771484,0.5192577838897705,0.35177233815193176
dual,Van Gogh,6,7,50.53271484375,50.53271484375,0.544921338558197,0.34201326966285706
dual,Van Gogh,6,8,63.3676643371582,63.3676643371582,0.47321876883506775,0.43824324011802673
dual,Van Gogh,6,9,48.7491340637207,48.7491340637207,0.48196089267730713,0.3565424978733063
dual,Van Gogh,6,10,47.28525924682617,47.28525924682617,0.5010465979576111,0.34597769379615784
dual,Van Gogh,6,11,46.94829177856445,46.94829177856445,0.5252953171730042,0.3359665274620056
dual,Van Gogh,6,12,63.26726531982422,63.26726531982422,0.4744812548160553,0.441083699464798
dual,Van Gogh,6,13,49.5011100769043,49.5011100769043,0.4908958673477173,0.35456880927085876
dual,Van Gogh,6,14,48.89811706542969,48.89811706542969,0.5175610780715942,0.3472331464290619
dual,Van Gogh,6,15,49.81663131713867,49.81663131713867,0.5474517941474915,0.34085801243782043
