kind,label,block_index,measurement_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,goldfish,3,3,26.61610221862793,26.61610221862793,0.3464667797088623,0.22991585731506348
dual,goldfish,3,4,35.602779388427734,35.602783203125,0.31819117069244385,0.2553050220012665
dual,goldfish,3,5,30.232376098632812,30.232379913330078,0.3468148708343506,0.24414797127246857
dual,goldfish,3,6,27.334228515625,27.334228515625,0.3462737202644348,0.2390305995941162
dual,goldfish,3,7,27.087915420532227,27.087915420532227,0.36629247665405273,0.23578539490699768
dual,goldfish,3,8,36.1099853515625,36.1099853515625,0.32332149147987366,0.25625503063201904
dual,goldfish,3,9,31.551488876342773,31.551488876342773,0.3563000559806824,0.24593599140644073
dual,goldfish,3,10,27.782880783081055,27.782882690429688,0.34075796604156494,0.2388102114200592
dual,goldfish,3,11,27.913537979125977,27.913537979125977,0.35988274216651917,0.229213148355484
dual,goldfish,3,12,37.88203048706055,37.88203048706055,0.33470430970191956,0.2691882252693176
dual,goldfish,3,13,27.948705673217773,27.948705673217773,0.30549293756484985,0.2233828753232956
dual,goldfish,3,14,25.577911376953125,25.577911376953125,0.31202706694602966,0.20743422210216522
dual,goldfish,3,15,25.466440200805664,25.466440200805664,0.33082976937294006,0.23166988790035248
dual,goldfish,3,16,36.03050994873047,36.03050994873047,0.32409200072288513,0.2502184510231018
dual,goldfish,3,17,36.267642974853516,36.26764678955078,0.4258212149143219,0.3115156888961792
dual,goldfish,3,18,35.0484504699707,35.0484504699707,0.44534727931022644,0.31955328583717346
dual,goldfish,3,19,37.13018035888672,37.13018035888672,0.4880351126194,0.33216142654418945
dual,goldfish,4,0,44.40697479248047,44.4069709777832,0.38895925879478455,0.3387352526187897
dual,goldfish,4,1,29.73894691467285,29.73894691467285,0.3456118404865265,0.26473674178123474
dual,goldfish,4,2,26.026391983032227,26.026391983032227,0.33101916313171387,0.23155765235424042
dual,goldfish,4,3,25.4849796295166,25.4849796295166,0.3448544144630432,0.22352612018585205
dual,goldfish,4,4,43.860408782958984,43.86040496826172,0.38817673921585083,0.3450452983379364
dual,goldfish,4,5,29.614990234375,29.614990234375,0.35536977648735046,0.27303653955459595
dual,goldfish,4,6,25.972192764282227,25.972192764282227,0.3474203646183014,0.23824770748615265
dual,goldfish,4,7,25.96244239807129,25.96244239807129,0.3727451264858246,0.23516984283924103
dual,goldfish,4,8,44.28914260864258,44.28913879394531,0.38984712958335876,0.3463720679283142
dual,goldfish,4,9,30.79180335998535,30.79180335998535,0.3543604910373688,0.2699388563632965
dual,goldfish,4,10,27.082782745361328,27.082778930664062,0.3424500823020935,0.23584559559822083
dual,goldfish,4,11,27.122333526611328,27.122333526611328,0.3673086166381836,0.24309144914150238
dual,goldfish,4,12,44.940486907958984,44.94047927856445,0.3925517499446869,0.34656837582588196
dual,goldfish,4,13,27.929779052734375,27.929779052734375,0.3166685402393341,0.2561434209346771
dual,goldfish,4,14,24.232589721679688,24.232589721679688,0.2988913953304291,0.22928719222545624
dual,goldfish,4,15,22.76591682434082,22.76591682434082,0.2965663969516754,0.20588655769824982
dual,goldfish,4,16,44.32892990112305,44.32892608642578,0.3921130299568176,0.34381768107414246
dual,goldfish,4,17,35.125885009765625,35.125885009765625,0.43081241846084595,0.3388926684856415
dual,goldfish,4,18,33.18706130981445,33.18706130981445,0.4560770094394684,0.3328377902507782
dual,goldfish,4,19,34.038753509521484,34.038753509521484,0.5002641081809998,0.3324309289455414
dual,goldfish,5,0,40.6306266784668,40.6306266784668,0.37845268845558167,0.3365097939968109
dual,goldfish,5,1,31.312925338745117,31.312925338745117,0.39405664801597595,0.28075528144836426
dual,goldfish,5,2,28.538904190063477,28.53890037536621,0.39498868584632874,0.26361003518104553
dual,goldfish,5,3,29.86427879333496,29.86427879333496,0.43152639269828796,0.2589583992958069
dual,goldfish,5,4,39.83002853393555,39.83002853393555,0.37322381138801575,0.3361809551715851
dual,goldfish,5,5,29.8828125,29.8828125,0.38992032408714294,0.279528945684433
dual,goldfish,5,6,27.109716415405273,27.109716415405273,0.3873400390148163,0.2662602365016937
dual,goldfish,5,7,28.19252586364746,28.19252586364746,0.41777798533439636,0.2576482892036438
dual,goldfish,5,8,40.36002731323242,40.360023498535156,0.37975069880485535,0.33967387676239014
dual,goldfish,5,9,31.33330726623535,31.33330726623535,0.3966277837753296,0.28003600239753723
dual,goldfish,5,10,28.863508224487305,28.863510131835938,0.39698734879493713,0.2607496976852417
dual,goldfish,5,11,30.28049087524414,30.28049087524414,0.43412333726882935,0.2575179636478424
dual,goldfish,5,12,40.88269805908203,40.882694244384766,0.3788202702999115,0.34004005789756775
dual,goldfish,5,13,29.1778507232666,29.1778507232666,0.360034316778183,0.2746150493621826
dual,goldfish,5,14,26.209081649780273,26.209081649780273,0.3536160886287689,0.2536522448062897
dual,goldfish,5,15,26.79697608947754,26.796972274780273,0.3748053312301636,0.2501389682292938
dual,goldfish,5,16,39.407501220703125,39.40749740600586,0.3692679703235626,0.3315579891204834
dual,goldfish,5,17,31.69252586364746,31.692529678344727,0.415992796421051,0.3161604404449463
dual,goldfish,5,18,29.329669952392578,29.329669952392578,0.42407986521720886,0.3060039281845093
dual,goldfish,5,19,31.04719352722168,31.04719352722168,0.4653843343257904,0.3036511540412903
dual,goldfish,6,0,57.95656967163086,57.95656967163086,0.3980605900287628,0.35146066546440125
dual,goldfish,6,1,47.620052337646484,47.620052337646484,0.42979079484939575,0.29700595140457153
dual,goldfish,6,2,44.66225814819336,44.66225814819336,0.43183469772338867,0.27294203639030457
dual,goldfish,6,3,45.69269561767578,45.69269561767578,0.4568723738193512,0.26470842957496643
dual,goldfish,6,4,57.80508041381836,57.80508041381836,0.39656227827072144,0.3530295491218567
dual,goldfish,6,5,44.50946044921875,44.50946044921875,0.41249558329582214,0.2940928339958191
dual,goldfish,6,6,41.59281539916992,41.59281539916992,0.4146643579006195,0.26590797305107117
dual,goldfish,6,7,43.16886520385742,43.16886520385742,0.44429731369018555,0.2556600570678711
dual,goldfish,6,8,57.44666290283203,57.44666290283203,0.3993109166622162,0.35313349962234497
dual,goldfish,6,9,44.788734436035156,44.78873825073242,0.41858598589897156,0.2842693030834198
dual,goldfish,6,10,41.075164794921875,41.075164794921875,0.41496801376342773,0.25948309898376465
dual,goldfish,6,11,41.619781494140625,41.619781494140625,0.44194546341896057,0.2616041302680969
dual,goldfish,6,12,58.72392654418945,58.72392654418945,0.4033583104610443,0.3585837781429291
dual,goldfish,6,13,46.47379684448242,46.47379684448242,0.41781339049339294,0.3091232478618622
dual,goldfish,6,14,43.16859817504883,43.16860580444336,0.4178432524204254,0.27877670526504517
dual,goldfish,6,15,43.01264572143555,43.01264572143555,0.4258846342563629,0.2534240186214447
dual,goldfish,6,16,57.54799270629883,57.54799270629883,0.3974023461341858,0.3543749749660492
dual,goldfish,6,17,48.038936614990234,48.0389404296875,0.43721523880958557,0.29132065176963806
dual,goldfish,6,18,44.494964599609375,44.49496841430664,0.43768930435180664,0.27185961604118347
dual,goldfish,6,19,45.350460052490234,45.350460052490234,0.46767187118530273,0.2715636193752289
dual,goldfish,7,0,43.0015754699707,43.00157928466797,0.39385485649108887,0.3533362150192261
dual,goldfish,7,1,34.004215240478516,34.004215240478516,0.40746718645095825,0.28175678849220276
dual,goldfish,7,2,33.8987922668457,33.8987922668457,0.43061238527297974,0.2541854977607727
dual,goldfish,7,3,36.30687713623047,36.306880950927734,0.48057103157043457,0.284410685300827
dual,goldfish,7,4,42.163875579833984,42.163875579833984,0.3850431740283966,0.34722912311553955
dual,goldfish,7,5,29.957386016845703,29.957386016845703,0.3695424497127533,0.26030561327934265
dual,goldfish,7,6,30.433813095092773,30.433813095092773,0.4068918228149414,0.2584427297115326
dual,goldfish,7,7,33.039852142333984,33.039852142333984,0.4640798568725586,0.2899654805660248
dual,goldfish,7,8,42.7225456237793,42.7225456237793,0.3966207206249237,0.35604649782180786
dual,goldfish,7,9,32.066246032714844,32.06624984741211,0.4008565843105316,0.267812043428421
dual,goldfish,7,10,31.955366134643555,31.955368041992188,0.4235498905181885,0.24220411479473114
dual,goldfish,7,11,33.72347640991211,33.72347640991211,0.47086283564567566,0.27852049469947815
dual,goldfish,7,12,43.12376022338867,43.1237678527832,0.3968268632888794,0.35891246795654297
dual,goldfish,7,13,31.251867294311523,31.251867294311523,0.37610548734664917,0.2689940631389618
dual,goldfish,7,14,31.058795928955078,31.058795928955078,0.3990129828453064,0.256232351064682
dual,goldfish,7,15,32.58257293701172,32.582576751708984,0.43048015236854553,0.27761217951774597
dual,goldfish,7,16,43.18056106567383,43.18056106567383,0.39728033542633057,0.3593144118785858
dual,goldfish,7,17,35.066410064697266,35.066410064697266,0.43343305587768555,0.28304287791252136
dual,goldfish,7,18,34.62459945678711,34.62459945678711,0.4459383487701416,0.2829093635082245
dual,goldfish,7,19,36.530517578125,36.530517578125,0.48662063479423523,0.31890004873275757
dual,goldfish,8,0,57.154640197753906,57.15464401245117,0.4344223141670227,0.40316668152809143
dual,goldfish,8,1,47.19456481933594,47.1945686340332,0.44670596718788147,0.33624178171157837
dual,goldfish,8,2,45.44527816772461,45.44527816772461,0.4545838534832001,0.2943015694618225
dual,goldfish,8,3,45.73138427734375,45.73138427734375,0.48569679260253906,0.2684912383556366
dual,goldfish,8,4,56.65020751953125,56.65021514892578,0.4272039532661438,0.39835038781166077
dual,goldfish,8,5,41.752071380615234,41.752071380615234,0.40245991945266724,0.3087116777896881
dual,goldfish,8,6,38.97565460205078,38.97565460205078,0.41964268684387207,0.2636197507381439
dual,goldfish,8,7,39.5763053894043,39.5763053894043,0.46917667984962463,0.2780044376850128
dual,goldfish,8,8,56.745697021484375,56.745697021484375,0.4368034303188324,0.4072122573852539
dual,goldfish,8,9,43.18754196166992,43.18754196166992,0.4335022568702698,0.3282442092895508
dual,goldfish,8,10,40.0782470703125,40.0782470703125,0.4361644685268402,0.2797101140022278
dual,goldfish,8,11,40.35162353515625,40.35162353515625,0.4661739766597748,0.26738661527633667
dual,goldfish,8,12,57.10750961303711,57.10750961303711,0.4312589168548584,0.40328866243362427
dual,goldfish,8,13,42.686866760253906,42.686866760253906,0.40535661578178406,0.31973981857299805
dual,goldfish,8,14,39.802310943603516,39.802310943603516,0.40830880403518677,0.2804686725139618
dual,goldfish,8,15,38.592369079589844,38.59237289428711,0.41928917169570923,0.26768964529037476
dual,goldfish,8,16,56.750282287597656,56.750282287597656,0.4268486201763153,0.39735040068626404
