report,branch,block_index,concept,group,similarity_to_target,is_global
raw,single,6,Lion,related_animals,0.6129001379013062,0
raw,single,6,Wolf,related_animals,0.7144729495048523,0
raw,single,6,Apple,fruits,0.5135512948036194,0
raw,single,6,Taylor Swift,fruits,0.5400099158287048,0
raw,single,7,Doggo,paraphrase_like,0.9601318836212158,0
raw,single,7,Canine,paraphrase_like,0.9517119526863098,0
raw,single,7,Lion,related_animals,0.6592584848403931,0
raw,single,7,Wolf,related_animals,0.738398551940918,0
raw,single,7,Apple,fruits,0.5522596836090088,0
raw,single,7,Taylor Swift,fruits,0.5769808292388916,0
raw,single,8,Doggo,paraphrase_like,0.95827317237854,0
raw,single,8,Canine,paraphrase_like,0.9464811682701111,0
raw,single,8,Lion,related_animals,0.5866729021072388,0
raw,single,8,Wolf,related_animals,0.6814431548118591,0
raw,single,8,Apple,fruits,0.49975430965423584,0
raw,single,8,Taylor Swift,fruits,0.5302731990814209,0
raw,single,9,Doggo,paraphrase_like,0.9566599130630493,0
raw,single,9,Canine,paraphrase_like,0.9494653344154358,0
raw,single,9,Lion,related_animals,0.542029619216919,0
raw,single,9,Wolf,related_animals,0.6934710144996643,0
raw,single,9,Apple,fruits,0.5214203596115112,0
raw,single,9,Taylor Swift,fruits,0.5853322744369507,0
raw,single,10,Doggo,paraphrase_like,0.9601553678512573,0
raw,single,10,Canine,paraphrase_like,0.946162760257721,0
raw,single,10,Lion,related_animals,0.6072322130203247,0
raw,single,10,Wolf,related_animals,0.7080183625221252,0
raw,single,10,Apple,fruits,0.6349026560783386,0
raw,single,10,Taylor Swift,fruits,0.6393252611160278,0
raw,single,11,Doggo,paraphrase_like,0.9490811824798584,0
raw,single,11,Canine,paraphrase_like,0.9381188750267029,0
raw,single,11,Lion,related_animals,0.6686317920684814,0
raw,single,11,Wolf,related_animals,0.738082766532898,0
raw,single,11,Apple,fruits,0.636276364326477,0
raw,single,11,Taylor Swift,fruits,0.6531331539154053,0
raw,single,12,Doggo,paraphrase_like,0.9525657892227173,0
raw,single,12,Canine,paraphrase_like,0.9451115131378174,0
raw,single,12,Lion,related_animals,0.657594621181488,0
raw,single,12,Wolf,related_animals,0.7376123666763306,0
raw,single,12,Apple,fruits,0.6701014041900635,0
raw,single,12,Taylor Swift,fruits,0.6724785566329956,0
raw,single,13,Doggo,paraphrase_like,0.9543147087097168,0
raw,single,13,Canine,paraphrase_like,0.9393326640129089,0
raw,single,13,Lion,related_animals,0.696707546710968,0
raw,single,13,Wolf,related_animals,0.7583211064338684,0
raw,single,13,Apple,fruits,0.7126228213310242,0
raw,single,13,Taylor Swift,fruits,0.7392337322235107,0
raw,single,14,Doggo,paraphrase_like,0.9611397385597229,0
raw,single,14,Canine,paraphrase_like,0.9493793249130249,0
raw,single,14,Lion,related_animals,0.810432493686676,0
raw,single,14,Wolf,related_animals,0.8371081352233887,0
raw,single,14,Apple,fruits,0.7891089916229248,0
raw,single,14,Taylor Swift,fruits,0.8148355484008789,0
raw,single,15,Doggo,paraphrase_like,0.9561243057250977,0
raw,single,15,Canine,paraphrase_like,0.9358259439468384,0
raw,single,15,Lion,related_animals,0.8011316061019897,0
raw,single,15,Wolf,related_animals,0.8515170812606812,0
raw,single,15,Apple,fruits,0.7565826177597046,0
raw,single,15,Taylor Swift,fruits,0.7685903310775757,0
raw,single,16,Doggo,paraphrase_like,0.9480063319206238,0
raw,single,16,Canine,paraphrase_like,0.9243971109390259,0
raw,single,16,Lion,related_animals,0.8486510515213013,0
raw,single,16,Wolf,related_animals,0.8663896322250366,0
raw,single,16,Apple,fruits,0.7843568325042725,0
raw,single,16,Taylor Swift,fruits,0.8142094612121582,0
raw,single,17,Doggo,paraphrase_like,0.9422705769538879,0
raw,single,17,Canine,paraphrase_like,0.9301760196685791,0
raw,single,17,Lion,related_animals,0.8736721277236938,0
raw,single,17,Wolf,related_animals,0.8821161389350891,0
raw,single,17,Apple,fruits,0.7861276865005493,0
raw,single,17,Taylor Swift,fruits,0.8158076405525208,0
raw,single,18,Doggo,paraphrase_like,0.9465558528900146,0
raw,single,18,Canine,paraphrase_like,0.9282073378562927,0
raw,single,18,Lion,related_animals,0.8750448822975159,0
raw,single,18,Wolf,related_animals,0.8885252475738525,0
raw,single,18,Apple,fruits,0.8179836273193359,0
