report,branch,block_index,concept,group,similarity_to_target,is_global
cleaned,single,1,Canine,paraphrase_like,0.9179477691650391,0
cleaned,single,1,Lion,related_animals,0.47407472133636475,0
cleaned,single,1,Wolf,related_animals,0.5824810862541199,0
cleaned,single,1,Apple,fruits,0.43928414583206177,0
cleaned,single,1,Taylor Swift,fruits,0.4366336166858673,0
cleaned,single,2,Doggo,paraphrase_like,0.9137572646141052,0
cleaned,single,2,Canine,paraphrase_like,0.9120633602142334,0
cleaned,single,2,Lion,related_animals,0.41597968339920044,0
cleaned,single,2,Wolf,related_animals,0.5529984831809998,0
cleaned,single,2,Apple,fruits,0.43743106722831726,0
cleaned,single,2,Taylor Swift,fruits,0.4129055142402649,0
cleaned,single,3,Doggo,paraphrase_like,0.9299699068069458,0
cleaned,single,3,Canine,paraphrase_like,0.9202425479888916,0
cleaned,single,3,Lion,related_animals,0.3711162209510803,0
cleaned,single,3,Wolf,related_animals,0.5093661546707153,0
cleaned,single,3,Apple,fruits,0.35380658507347107,0
cleaned,single,3,Taylor Swift,fruits,0.31709814071655273,0
cleaned,single,4,Doggo,paraphrase_like,0.9358519315719604,0
cleaned,single,4,Canine,paraphrase_like,0.9134112596511841,0
cleaned,single,4,Lion,related_animals,0.39012134075164795,0
cleaned,single,4,Wolf,related_animals,0.4942258596420288,0
cleaned,single,4,Apple,fruits,0.36723756790161133,0
cleaned,single,4,Taylor Swift,fruits,0.2553624212741852,0
cleaned,single,5,Doggo,paraphrase_like,0.9331426620483398,0
cleaned,single,5,Canine,paraphrase_like,0.910490095615387,0
cleaned,single,5,Lion,related_animals,0.28453344106674194,0
cleaned,single,5,Wolf,related_animals,0.48067283630371094,0
cleaned,single,5,Apple,fruits,0.3418421149253845,0
cleaned,single,5,Taylor Swift,fruits,0.29529568552970886,0
cleaned,single,6,Doggo,paraphrase_like,0.9373270273208618,0
cleaned,single,6,Canine,paraphrase_like,0.9174860715866089,0
cleaned,single,6,Lion,related_animals,0.34502559900283813,0
cleaned,single,6,Wolf,related_animals,0.5231421589851379,0
cleaned,single,6,Apple,fruits,0.37287527322769165,0
cleaned,single,6,Taylor Swift,fruits,0.37849217653274536,0
cleaned,single,7,Doggo,paraphrase_like,0.9339849948883057,0
cleaned,single,7,Canine,paraphrase_like,0.9113423824310303,0
cleaned,single,7,Lion,related_animals,0.38007140159606934,0
cleaned,single,7,Wolf,related_animals,0.548970103263855,0
cleaned,single,7,Apple,fruits,0.387759268283844,0
cleaned,single,7,Taylor Swift,fruits,0.38146883249282837,0
cleaned,single,8,Doggo,paraphrase_like,0.9363631010055542,0
cleaned,single,8,Canine,paraphrase_like,0.9113402366638184,0
cleaned,single,8,Lion,related_animals,0.323990136384964,0
cleaned,single,8,Wolf,related_animals,0.488511323928833,0
cleaned,single,8,Apple,fruits,0.3541461229324341,0
cleaned,single,8,Taylor Swift,fruits,0.3825879395008087,0
cleaned,single,9,Doggo,paraphrase_like,0.9286948442459106,0
cleaned,single,9,Canine,paraphrase_like,0.9081650972366333,0
